time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
50845000,994,0,0,0,12,8,3d,3ffc7,-160,-168,160,168,1e,01,3d,4,262144
50855000,994,1,0,1,12,8,01,00007,-168,144,168,144,12,1e,01,5,262144
50865000,994,2,0,2,12,8,1e,07ff8,-1112,-1120,1112,1120,1a,12,1e,6,262144
50875000,995,3,0,3,12,8,12,07038,-1112,-1120,1112,1120,00,1a,12,6,262144
50885000,995,4,0,4,12,8,1a,07e38,-800,784,800,784,00,00,1a,7,262144
50895000,995,5,0,5,12,8,00,00000,-160,-1120,160,1120,2c,00,00,8,262144
50915000,995,6,0,6,12,8,2c,38fc0,-478,-167,478,167,0f,02,2c,10,264192
50925000,996,7,0,7,12,8,02,00038,462,788,462,788,16,0f,02,11,264192
50935000,996,8,0,8,12,8,0f,00fff,-161,-485,161,485,2f,16,0f,12,264200
50945000,996,9,0,9,12,8,16,071f8,463,-161,463,161,32,2f,16,13,262144
50955000,996,10,0,10,12,8,2f,38fff,-1112,-1120,1112,1120,17,32,2f,14,262144
50965000,996,11,0,11,12,8,32,3f038,144,784,144,784,00,17,32,15,262144
50975000,997,12,0,12,12,8,17,071ff,147,-1108,147,1108,2b,00,17,16,264200
50985000,997,13,0,13,12,8,00,00000,772,1091,772,1091,03,2b,00,17,264192
50995000,997,14,0,14,12,8,2b,38e3f,144,152,144,152,0d,03,2b,18,262144
51005000,997,15,0,15,12,8,03,0003f,-1112,464,1112,464,1b,0d,03,19,262144
51015000,997,16,0,16,12,8,0d,00fc7,-1112,464,1112,464,38,1b,0d,19,262144
51025000,998,17,0,17,12,8,1b,07e3f,1104,-160,1104,160,38,38,1b,20,262144
51035000,998,18,0,18,12,8,38,3fe00,792,-160,792,160,11,38,38,21,262144
51055000,998,19,0,19,12,9,11,07007,-472,-488,472,488,0e,15,11,23,262144
51065000,998,20,0,20,12,9,15,071c7,464,1104,464,1104,36,0e,15,24,262144
51075000,999,21,0,21,12,9,0e,00ff8,-796,-167,796,167,0f,36,0e,25,264192
51085000,999,22,0,22,12,9,36,3f1f8,-785,-166,785,166,14,0f,36,26,266256
51095000,999,23,0,23,12,9,0f,00fff,-785,-166,785,166,14,14,0f,26,262144
51105000,999,24,0,24,12,9,14,071c0,-785,-166,785,166,14,14,14,26,262144
51115000,999,25,0,25,12,9,14,071c0,-785,-166,785,166,14,14,14,26,262144
51195000,1001,26,0,26,12,9,2a,38e38,1096,1104,1096,1104,0b,3a,2a,30,262144
51205000,1001,27,0,27,12,9,3a,3fe38,-1112,152,1112,152,09,0b,3a,31,262144
51215000,1001,28,0,28,12,9,0b,00e3f,1108,-473,1108,473,18,09,0b,32,260096
