time_ns,iq_count,event,phy_state,rxi_state,rate,len,byte_count,byte,fc_di,addr1,addr2,addr3,block,block_valid,m_axis_data,m_axis_last,rxi_sig_valid,rxi_reg5,rxi_reg6,rxi_start,rxi_start_m_axis,rxi_monitor_words,rxi_axis_words
205000,0,rxi_state,0,0,00,0,0,00,00000000,000000000000,000000000000,000000000000,1,0,0000000000000000,0,0,00000000,00000000,0,0,0,16383
40885000,795,fc_di,6,0,0b,99,4,87,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40895000,795,fc_di,6,0,0b,99,4,87,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40905000,795,fc_di,6,0,0b,99,4,87,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40915000,795,fc_di,6,0,0b,99,4,87,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40925000,796,fc_di,6,0,0b,99,4,87,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40935000,796,fc_di,6,0,0b,99,4,87,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40945000,796,fc_di,6,0,0b,99,4,87,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40955000,796,fc_di,6,0,0b,99,4,d8,87006800,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
49045000,958,phy_header,12,0,80,104,0,00,87006800,0000000002d8,000000000000,000000000000,0,0,0000000000000000,0,1,00000025,ffff0000,0,0,0,16383
49045000,958,rxi_sig,12,0,80,104,0,00,87006800,0000000002d8,000000000000,000000000000,0,0,0000000000000000,0,1,00000025,ffff0000,0,0,0,16383
49055000,958,rxi_state,12,1,80,104,0,00,00000000,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,15,14
49065000,958,rxi_state,12,2,80,104,0,00,00000000,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,15,14
49075000,959,rxi_state,12,3,80,104,0,00,00000000,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,15,14
69595000,1369,fc_di,12,3,80,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
69605000,1369,fc_di,12,3,80,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
69615000,1369,fc_di,12,3,80,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
69625000,1370,fc_di,12,3,80,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
69635000,1370,fc_di,12,3,80,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
69645000,1370,fc_di,12,3,80,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
69655000,1370,fc_di,12,3,80,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
69665000,1370,fc_di,12,3,80,104,4,00,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73415000,1445,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73425000,1446,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73435000,1446,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73445000,1446,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73455000,1446,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73465000,1446,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73475000,1447,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73485000,1447,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73495000,1447,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73505000,1447,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73515000,1447,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73525000,1448,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73535000,1448,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
73545000,1448,addr1,12,3,80,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
