time_ns,aresetn,aclken,s_valid,s_ready,s_tdata,s_tuser,m_valid,m_tdata,raw_m_valid,raw_m_tdata,legacy_m_valid,legacy_m_tdata,behav_m_valid,behav_m_tdata
5000,0,1,x,0,0X0X,0X,x,xx,0,00,0,00,x,xx
25000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
35000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
45000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
55000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
65000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
75000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
85000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
95000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
105000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
115000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
125000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
135000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
145000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
155000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
165000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
175000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
185000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
195000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
205000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
215000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
225000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
235000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
245000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
255000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
265000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
275000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
285000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
295000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
305000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
315000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
325000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
335000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
345000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
355000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
365000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
375000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
385000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
395000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
405000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
415000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
425000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
435000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
445000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
455000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
465000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
475000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
485000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
495000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
505000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
515000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
525000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
535000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
545000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
555000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
565000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
575000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
585000,0,1,0,0,0000,00,0,00,0,00,0,00,0,00
595000,1,1,0,0,0000,00,0,00,0,00,0,00,0,00
605000,1,1,0,0,0000,00,0,00,0,00,0,00,0,00
20185000,1,1,0,0,0000,00,0,00,0,00,0,00,0,00
31775000,1,1,1,1,0707,00,0,00,0,00,0,00,0,00
31785000,1,1,1,1,0007,00,0,00,0,00,0,00,0,00
31795000,1,1,1,1,0007,00,0,00,0,00,0,00,0,00
31805000,1,1,1,1,0707,00,0,00,0,00,0,00,0,00
31815000,1,1,1,1,0007,00,0,00,0,00,0,00,0,00
31825000,1,1,1,1,0007,00,0,00,0,00,0,00,0,00
31835000,1,1,1,1,0000,00,0,00,0,00,0,00,0,00
31845000,1,1,1,1,0700,00,0,00,0,00,0,00,0,00
31855000,1,1,1,1,0007,00,0,00,0,00,0,00,0,00
31865000,1,1,1,1,0000,00,0,00,0,00,0,00,0,00
31875000,1,1,1,1,0700,00,0,00,0,00,0,00,0,00
31885000,1,1,1,1,0707,00,0,00,0,00,0,00,0,00
31895000,1,1,1,1,0700,00,0,00,0,00,0,00,0,00
31905000,1,1,1,1,0000,00,0,00,0,00,0,00,0,00
31915000,1,1,1,1,0707,00,0,00,0,00,0,00,0,00
31925000,1,1,1,1,0007,00,0,00,0,00,0,00,0,00
31935000,1,1,1,1,0700,00,0,00,0,00,0,00,0,00
31945000,1,1,1,1,0000,00,0,00,0,00,0,00,0,00
31955000,1,1,1,1,0700,00,0,00,0,00,0,00,0,00
31965000,1,1,1,1,0707,00,0,00,0,00,0,00,0,00
31975000,1,1,1,1,0707,00,0,00,0,00,0,00,0,00
31985000,1,1,1,1,0000,00,0,00,0,00,0,00,0,00
31995000,1,1,1,1,0007,00,0,00,0,00,0,00,0,00
32005000,1,1,1,1,0707,00,0,00,0,00,0,00,0,00
32015000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32025000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32035000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32045000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32055000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32065000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32075000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32085000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32095000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32105000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32115000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32125000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32135000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32145000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32155000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32165000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32175000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32185000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32195000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32205000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32215000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32225000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32235000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32245000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32255000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32265000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32275000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32285000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32295000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32305000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32315000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32325000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32335000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32345000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32355000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32365000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32375000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32385000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32395000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32405000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32415000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32425000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32435000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32445000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32455000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32465000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32475000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
32485000,1,1,1,1,0303,00,0,00,0,00,0,00,0,00
