time_ns,iq_count,state,old_state,num_ofdm_symbol,ht_ready,ofdm_in_stb,eq_out_stb_delayed,ofdm_symbol_eq_out_pulse,rate,len,num_bits_to_decode,n_ofdm_sym,n_bit_in_last_sym,deinter_decode_limit,deinter_count,demod_stb,deinter_stb,conv_in_stb,conv_in_stb_dly,vit_valid,conv_stb,descr_stb,bit_stb,byte_stb,byte_count,byte,fcs_stb,fcs_ok
31035000,598,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31045000,598,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31055000,598,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31065000,598,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31075000,599,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31085000,599,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31095000,599,3,3,3,1,0,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31105000,599,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31115000,599,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31125000,600,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31135000,600,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31145000,600,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31155000,600,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31165000,600,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31175000,601,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31185000,601,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31195000,601,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
