time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
50845000,994,0,0,0,12,8,03,1bedf,-728,-736,728,736,00,02,03,4,262144
50855000,994,1,0,1,12,8,02,1bed8,712,720,712,720,00,00,02,5,262144
50865000,994,2,0,2,12,8,00,1b0d8,-728,-736,728,736,03,00,00,6,262144
50875000,995,3,0,3,12,8,00,1b0d8,-728,-736,728,736,00,03,00,6,262144
50885000,995,4,0,4,12,8,03,1bedf,720,728,720,728,00,00,03,7,262144
50895000,995,5,0,5,12,8,00,1b0d8,720,-728,720,728,03,00,00,8,262144
50915000,995,6,0,6,12,8,03,1bedf,-733,709,733,709,01,01,03,10,264192
50925000,996,7,0,7,12,8,01,1b0df,717,-725,717,725,02,01,01,11,264192
50935000,996,8,0,8,12,8,01,1b0df,711,714,711,714,01,02,01,12,264200
50945000,996,9,0,9,12,8,02,1bed8,-738,-733,738,733,03,01,02,13,262144
50955000,996,10,0,10,12,8,01,1b0df,704,720,704,720,00,03,01,14,262144
50965000,996,11,0,11,12,8,03,1bedf,-728,-736,728,736,03,00,03,15,262144
50975000,997,12,0,12,12,8,00,1b0d8,714,-727,714,727,00,03,00,16,264200
50985000,997,13,0,13,12,8,03,1bedf,709,717,709,717,01,00,03,17,264192
50995000,997,14,0,14,12,8,00,1b0d8,720,-728,720,728,03,01,00,18,262144
51005000,997,15,0,15,12,8,01,1b0df,720,720,720,720,01,03,01,19,262144
51015000,997,16,0,16,12,8,03,1bedf,720,720,720,720,03,01,03,19,262144
51025000,998,17,0,17,12,8,01,1b0df,720,-728,720,728,03,03,01,20,262144
51035000,998,18,0,18,12,8,03,1bedf,-720,-736,720,736,01,03,03,21,262144
51055000,998,19,0,19,12,9,01,1b0df,-728,-728,728,728,03,00,01,23,262144
51065000,998,20,0,20,12,9,00,1b0d8,720,-720,720,720,00,03,00,24,262144
51075000,999,21,0,21,12,9,03,1bedf,-733,709,733,709,01,00,03,25,264192
51085000,999,22,0,22,12,9,00,1b0d8,714,-722,714,722,02,01,00,26,266256
51095000,999,23,0,23,12,9,01,1b0df,714,-722,714,722,01,02,01,26,262144
51105000,999,24,0,24,12,9,02,1bed8,714,-722,714,722,01,01,02,26,262144
51115000,999,25,0,25,12,9,01,1b0df,714,-722,714,722,01,01,01,26,262144
51195000,1001,26,0,26,12,9,00,1b0d8,712,720,712,720,03,03,00,30,262144
51205000,1001,27,0,27,12,9,03,1bedf,-720,-736,720,736,03,03,03,31,262144
51215000,1001,28,0,28,12,9,03,1bedf,-730,-730,730,730,00,03,03,32,260096
51225000,1002,29,0,29,12,9,03,1bedf,725,-733,725,733,00,00,03,33,258064
51235000,1002,30,0,30,12,9,00,1b0d8,725,-733,725,733,01,00,00,33,258064
51245000,1002,31,0,31,12,9,00,1b0d8,-733,-733,733,733,01,01,00,34,258064
51255000,1002,32,0,32,12,9,01,1b0df,712,720,712,720,00,01,01,35,262144
51275000,1003,33,0,33,12,9,00,1b0d8,704,720,704,720,02,03,00,37,262144
51285000,1003,34,0,34,12,9,03,1bedf,728,-730,728,730,03,02,03,38,258064
51295000,1003,35,0,35,12,9,02,1bed8,725,-728,725,728,01,03,02,39,260104
51305000,1003,36,0,36,12,9,03,1bedf,-724,-752,724,752,01,01,03,40,260112
51315000,1003,37,0,37,12,9,01,1b0df,722,-733,722,733,00,01,01,41,262144
51325000,1004,38,0,38,12,9,01,1b0df,728,-728,728,728,01,00,01,42,262144
51335000,1004,39,0,39,12,9,00,1b0d8,720,-728,720,728,01,01,00,43,262144
51345000,1004,40,0,40,12,9,01,1b0df,-720,-736,720,736,01,01,01,44,262144
51355000,1004,41,0,41,12,9,01,1b0df,-720,-736,720,736,00,01,01,45,262144
51365000,1004,42,0,42,12,9,01,1b0df,712,728,712,728,00,00,01,46,262144
51375000,1005,43,0,43,12,9,00,1b0d8,712,728,712,728,03,00,00,46,262144
51385000,1005,44,0,44,12,9,00,1b0d8,-736,712,736,712,03,03,00,47,262144
51395000,1005,45,0,45,12,9,03,1bedf,-730,-738,730,738,02,03,03,48,260096
51415000,1005,46,0,46,12,9,02,1bed8,-733,-741,733,741,03,00,02,50,258064
51425000,1006,47,0,47,12,9,00,1b0d8,725,-733,725,733,00,03,00,51,258064
51435000,1006,48,0,48,12,9,03,1bedf,-730,-744,730,744,01,00,03,0,258064
51445000,1006,49,0,49,12,9,00,1b0d8,-730,-744,730,744,00,01,00,0,258064
51455000,1006,50,0,50,12,9,01,1b0df,-730,-744,730,744,00,00,01,0,258064
51465000,1006,51,0,51,12,9,00,1b0d8,-730,-744,730,744,00,00,00,0,258064
54445000,1066,52,1,0,12,9,00,1b0d8,-728,720,728,720,02,01,00,4,262144
54455000,1066,53,1,1,12,9,01,1b0df,-728,-728,728,728,02,02,01,5,262144
54465000,1066,54,1,2,12,9,02,1bed8,-720,-728,720,728,00,02,02,6,262144
54475000,1067,55,1,3,12,9,02,1bed8,-720,-728,720,728,00,00,02,6,262144
54485000,1067,56,1,4,12,9,00,1b0d8,-728,-720,728,720,00,00,00,7,262144
54495000,1067,57,1,5,12,9,00,1b0d8,-728,720,728,720,00,00,00,8,262144
54515000,1067,58,1,6,12,9,00,1b0d8,717,-717,717,717,00,02,00,10,264192
54525000,1068,59,1,7,12,9,02,1bed8,717,725,717,725,01,00,02,11,264192
54535000,1068,60,1,8,12,9,00,1b0d8,-722,719,722,719,03,01,00,12,264200
54545000,1068,61,1,9,12,9,01,1b0df,-725,722,725,722,02,03,01,13,262144
54555000,1068,62,1,10,12,9,03,1bedf,720,-728,720,728,02,02,03,14,262144
54565000,1068,63,1,11,12,9,02,1bed8,720,-728,720,728,01,02,02,15,262144
54575000,1069,64,1,12,12,9,02,1bed8,714,-727,714,727,01,01,02,16,264200
54585000,1069,65,1,13,12,9,01,1b0df,717,-725,717,725,01,01,01,17,264192
54595000,1069,66,1,14,12,9,01,1b0df,720,720,720,720,01,01,01,18,262144
54605000,1069,67,1,15,12,9,01,1b0df,-728,-728,728,728,03,01,01,19,262144
54615000,1069,68,1,16,12,9,01,1b0df,-728,-728,728,728,00,03,01,19,262144
54625000,1070,69,1,17,12,9,03,1bedf,-728,-728,728,728,00,00,03,20,262144
54635000,1070,70,1,18,12,9,00,1b0d8,-728,-728,728,728,00,00,00,21,262144
54655000,1070,71,1,19,12,10,00,1b0d8,720,720,720,720,01,00,00,23,262144
