time_ns,word_index,tdata,tlast,tstrb
56425000,0,0000000000000031,0,ff
56435000,1,003400680180008d,0,ff
56445000,2,cd0860002e000204,0,ff
56455000,3,f13c01d62000a637,0,ff
56595000,4,0000af3bad086000,0,ff
59275000,5,697262202c796f4a,0,ff
59915000,6,7261707320746867,0,ff
62595000,7,76696420666f206b,0,ff
63235000,8,440a2c7974696e69,0,ff
63875000,9,2072657468677561,0,ff
66555000,10,6973796c4520666f,0,ff
67195000,11,657269460a2c6d75,0,ff
69875000,12,64657269736e692d,0,ff
70515000,13,6165727420657720,0,ff
71155000,14,8105483500000000,1,ff
