time_ns,iq_count,byte_count,byte
32705000,631,0,0b
32785000,633,1,03
32865000,634,2,02
40635000,790,0,05
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,64
41035000,798,5,00
52645000,1030,0,04
52725000,1032,1,02
52805000,1033,2,00
52885000,1035,3,2e
52965000,1036,4,00
53045000,1038,5,60
53125000,1040,6,08
53205000,1041,7,cd
53285000,1043,8,37
53365000,1044,9,a6
53445000,1046,10,00
53525000,1048,11,20
53605000,1049,12,d6
55205000,1081,13,01
55285000,1083,14,3c
55365000,1084,15,f1
55445000,1086,16,00
55525000,1088,17,60
55605000,1089,18,08
55685000,1091,19,ad
55765000,1092,20,3b
55845000,1094,21,af
55925000,1096,22,00
56005000,1097,23,00
56085000,1099,24,4a
56165000,1100,25,6f
56245000,1102,26,79
56325000,1104,27,2c
56405000,1105,28,20
56485000,1107,29,62
56565000,1108,30,72
56645000,1110,31,69
56725000,1112,32,67
56805000,1113,33,68
56885000,1115,34,74
56965000,1116,35,20
57045000,1118,36,73
57125000,1120,37,70
57205000,1121,38,61
58805000,1153,39,72
58885000,1155,40,6b
58965000,1156,41,20
59045000,1158,42,6f
59125000,1160,43,66
59205000,1161,44,20
59285000,1163,45,64
59365000,1164,46,69
59445000,1166,47,76
59525000,1168,48,69
59605000,1169,49,6e
59685000,1171,50,69
59765000,1172,51,74
59845000,1174,52,79
59925000,1176,53,2c
60005000,1177,54,0a
60085000,1179,55,44
60165000,1180,56,61
60245000,1182,57,75
60325000,1184,58,67
60405000,1185,59,68
60485000,1187,60,74
60565000,1188,61,65
60645000,1190,62,72
60725000,1192,63,20
60805000,1193,64,6f
62405000,1225,65,66
62485000,1227,66,20
62565000,1228,67,45
62645000,1230,68,6c
62725000,1232,69,79
62805000,1233,70,73
62885000,1235,71,69
62965000,1236,72,75
63045000,1238,73,6d
63125000,1240,74,2c
63205000,1241,75,0a
63285000,1243,76,46
63365000,1244,77,69
63445000,1246,78,72
63525000,1248,79,65
63605000,1249,80,2d
63685000,1251,81,69
63765000,1252,82,6e
63845000,1254,83,73
63925000,1256,84,69
64005000,1257,85,72
64085000,1259,86,65
64165000,1260,87,64
64245000,1262,88,20
64325000,1264,89,77
64405000,1265,90,65
66005000,1297,91,20
66085000,1299,92,74
66165000,1300,93,72
66245000,1302,94,65
66325000,1304,95,61
66405000,1305,96,00
66485000,1307,97,00
66565000,1308,98,00
66645000,1310,99,00
66725000,1312,100,35
66805000,1313,101,48
66885000,1315,102,05
66965000,1316,103,0f
